title,price,artwork_detail,edition_detail,dimensions,,,,,,,
Credit Card, å£1--200.00, Silkscreen Print, Signed Limited Edition of 50, 50cm x 50cm,,,,,,,
Plaque (Orange), SOLD, Resin, Signed Limited Edition of 12, 23cm x 23cm,,,,,,,
Framed Love Lenticular 1-4, å£710.00, Lenticular , Signed Limited Edition of 75, 62 ÌÑ 62 cm,,,,,,,
Floral Play No.2, å£7--500.00, Mono Print &amp; Screenprint on Wood Panel, Signed, Limited Edition of 3, 100cm Circulate (Framed),,,,,,
For Richer For Poorer, å£3--000.00, A Single Cabinet of Expensive Items Made Up of Felt, Acrylic and Thread, Limited Edition of 50, Complete with Signed CertificateåÊof Authenticity, 77cm x 60cm x 12cm,,,,,
Lovebird, å£600.00, Giclee Print, Signed Limited Edition of 50, 76cm x 55cm,,,,,,,
Black Magic, SOLD, Silkscreen, Framed Signed Limited Edition of 30, 137cm x 95cm ,,,,,,,
Dreammood, SOLD, Surgical Blades in Resin with Gold Leaf on Wood and Aluminium, Signed Limited Edition of 8, 90cm x 108cm (Framed),,,,,,,
Yes We Can Live In Peace, å£600.00, Giclee with Silkscreen and Glazes , Signed, Limited Edition of 50, 115cm x 82cm,,,,,,
Grin Reaper, POA, Silkscreen on Paper, Signed Limited Edition of 300 (framed), 58cm x 86cm,,,,,,,
Who Cares Wins (Liberty), SOLD, Silkscreen Print on 300gsm Somerset Velvet, Signed Limited Edition of 25, 43.18cm X 58.42cm,,,,,,,
Small Union Flag- Glitter, å£1--500.00, Silkscreen Print, Signed Limited a Edition of 100, 62cm X 48cm,,,,,,,
Untitled I-- Bedtime Tales for Sleepless Nights series , å£1--450.00, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
Love is All You Need , å£26--750.00, Silkscreen Print, Signed Limited Edition of 75, 163cm x 166cm (Framed),,,,,,,
One Or Two Cats, å£600.00,  Silkscreen and Varnish, Signed Limited Edition of 80, 76cm x 94cm,,,,,,,
Exactly Where You‰Ûªre Supposed To Be, å£4--000.00, Neon and Perspex, Signed Limited Edition of 3, 96cm x 75cm,,,,,,,
Peace & Justice Woman, POA, Silkscreen Print, Signed Limited Edition of 50, ,,,,,,,
‰ÛªDismayland - Minnie Hiroshima 2, å£250.00, Giclee Print, Signed Limited Edition of 40, 30cm x 20cm,,,,,,,
Long-Life Battery, å£1--200.00, Silkscreen Print, Signed Limited Edition of 50, 50cm x 50cm,,,,,,,
Ginger Flower No.2, å£7--500.00, Mono Print &amp; Screenprint on Wood Panel, Signed, Limited Edition of 3, 100cm Circulate (Framed),,,,,,
Lovebird XL, å£1--800.00, Giclee Print, Signed Limited Edition of 50, 122cm x 81cm,,,,,,,
Mannitol, POA, Woodcut, Limited Edition of 55, Signed and Numbered on Reverse, 66cm x 66cm,,,,,,
Spray Can, å£575.00, Silkscreen Print, Signed Limited Edition of 50, 56cm x 76cm,,,,,,,
Slow Dive, å£550.00, Giclee, Silkscreen, Diamond Dust and Glazes, Signed, Limited Edition of 60, 100cm x 73cm,,,,
Dazzle Disc 2016, POA, Silkscreen, Signed Limited Edition of 100, 81cm X 72cm,,,,,,,
Frida Kahlo-- Chromophore, å£295.00, Single Colour Chip Collage on Giclee Print, Signed Limited Edition of 33, 54cm x 56cm,,,,,,,
Don‰Ûªt Let the Bastards Cheer You Up, SOLD, Silkscreen on Somerset 410 gsm Paper, Signed Limited Edition of 50, 42cm x 59.4cm,,,,,,,
Liberty - Teal, SOLD, Screenprint, Limited Edition of 25,  43cm x 112cm (Framed),,,,,,,
Untitled II-- Bedtime Tales for Sleepless Nights series , å£1--450.00, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
Bomb Hugger, POA, Silkscreen, Limited Edition of 600, 50cm x 70cm,,,,,,,
Two Lights Dance in The Night (Silver), å£395.00, Silkscreen with Silver Leaf, Signed Limited Edition of 50, 60cm x 90cm,,,,,,,
Study For A Portrait Of An Unknown Woman, å£720.00, Silkscreen and Varnish, Signed Limited Edition of 80, 76cm x 94cm,,,,,,,
I'll stand before the Lord of Song, å£1--250.00, Lightbox, Signed Limited Edition of 5, 68cm x 23cm,,,,,,,
Operation Oil Freedom, POA, Silkscreen Print, Signed Limited Edition of 50, 91cm x 121cm,,,,,,,
, , , , ,,,,,,,
It's All Make Believe-- Isn't it' - Marilyn  , SOLD, Surgical Blades, Float Cast in Resin on Wood and Aluminium, Series of 3 (each unique), 138cm x 88cm,,,,,,
Diamond Ring, å£1--200.00, Silkscreen Print, Signed Limited Edition of 50, 50cm x 50cm,,,,,,,
Weston Super Mare, SOLD, Screenprint, Limited Edition of 750, 100cm x 35cm,,,,,,,
Such a Sad Time, å£2--400.00, Cabinet with Felt, Acrylic, and Thread, Limited Edition of 50. Signed Felt Certificate of Authenticity, 77cm x 60cm x 12cm,,,,,
Gly-Gly-Ala, POA, Woodcut , Edition of 55. Signed by the artist and numbered on the reverse, 107.7 x 86.5 cm (42 3/8 x 34 inches),,,,,,,
Sweet Dreams, SOLD, Silkscreen Print, Signed Limited Edition of 50, 56cm x 76cm,,,,,,,
Press Play: Eternal Return, å£125.00, 18 Colour Screen Print, Signed, Numbered and Embossed, Edition of 35, 65cm x 46cm,,,,,
Sweet Savage, å£700.00, Giclee with Silkscreen and Glazes, Signed, Limited Edition of 60, 82cm x 115cm,,,,,,
Found Art: 24 Flags , å£4--500.00, Glass Print, Signed Limited Edition of 25, 101.6cm X 119cm,,,,,,,
Frida Kahlo-- Auxochrome, å£295.00, Single Colour Chip Collage on Giclee Print, Signed Limited Edition of 33, 54cm x 56cm,,,,,,,
Untitled III-- Bedtime Tales for Sleepless Nights series , SOLD, Colour Etching on paper, Signed Limited Edition of 35, 41.5cm x 50cm,,,,,,,
The wrong brave face, å£600.00, Silkscreen and Varnish, Signed Limited Edition of 80, 76cm x 94cm,,,,,,,
Bell Jar Heart, å£2--000.00, Neon in Victorian Bell Jar, Signed Unique, Edition of 3, 43cm x 31cm,,,,,,
Joan Jett, POA, Silkscreen Print, Signed Limited Edition of 100, 91cm x 121cm,,,,,,,
